id,category_name,text
9614,홈 > 식품/유아/완구 > 완구/로봇/놀이매트 > 인형/피규어,에스에이엠지엔터테인먼트 새콤달콤 캐치티니핑 말랑핑 인형 팔찌 | 에스에이엠지엔터테인먼트 | 홈 > 식품/유아/완구 > 완구/로봇/놀이매트 > 인형/피규어
9870,홈 > 식품/유아/완구 > 완구/로봇/놀이매트 > 인형/피규어,에스에이엠지엔터테인먼트 티니핑X하츠투하츠 랜덤 피규어 (1개) | 에스에이엠지엔터테인먼트 | 홈 > 식품/유아/완구 > 완구/로봇/놀이매트 > 인형/피규어
9161,홈 > 식품/유아/완구 > 완구/로봇/놀이매트 > 인형/피규어,산리오 빅 얼굴 숄더 인형 가방 50CM 마이멜로디 시나모롤 쿠로미스타 폼폼푸린 애착 동물 캐릭터 마이멜로디 얼굴 숄더백 | 산리오 | 홈 > 식품/유아/완구 > 완구/로봇/놀이매트 > 인형/피규어
10695,홈 > 식품/유아/완구 > 완구/로봇/놀이매트 > 인형/피규어,키즈키즈 시나모롤 미니 실리콘 파우치 H931295 | 키즈키즈 | 홈 > 식품/유아/완구 > 완구/로봇/놀이매트 > 인형/피규어
9949,홈 > 식품/유아/완구 > 완구/로봇/놀이매트 > 인형/피규어,아가방 유아인형 베이비 애착인형 _01S0634035801_래블릿 애착인형 | 아가방앤컴퍼니 | 홈 > 식품/유아/완구 > 완구/로봇/놀이매트 > 인형/피규어
9460,홈 > 식품/유아/완구 > 완구/로봇/놀이매트 > 인형/피규어,미미월드 미미의꿈 용감한 경찰관 미미 | 미미월드 | 홈 > 식품/유아/완구 > 완구/로봇/놀이매트 > 인형/피규어
9744,홈 > 식품/유아/완구 > 완구/로봇/놀이매트 > 인형/피규어,원앤원 파올라레이나 카롤 | 원앤원 | 홈 > 식품/유아/완구 > 완구/로봇/놀이매트 > 인형/피규어
9824,홈 > 식품/유아/완구 > 완구/로봇/놀이매트 > 인형/피규어,러닝리소스 IN93417 넘버블럭스 1-10 에듀케셔널인사이츠 | 러닝리소스 | 홈 > 식품/유아/완구 > 완구/로봇/놀이매트 > 인형/피규어
9099,홈 > 식품/유아/완구 > 완구/로봇/놀이매트 > 인형/피규어,제이앤씨 뽀로로와 친구들 리얼 피규어 (크롱) | 제이앤씨 | 홈 > 식품/유아/완구 > 완구/로봇/놀이매트 > 인형/피규어
9823,홈 > 식품/유아/완구 > 완구/로봇/놀이매트 > 인형/피규어,반디 소프트 애니멀 알로사우르스 | 반디 | 홈 > 식품/유아/완구 > 완구/로봇/놀이매트 > 인형/피규어
